#,Player,Season,Team,Shoots,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
1,Alex Ovechkin,2007-08,WSH,R,L,82,65,47,112,+28,40,1.37,43,75,22,37,0,0,2,11,446,14.6,22:55,38.9
2,Evgeni Malkin,2007-08,PIT,L,C,82,47,59,106,+16,78,1.29,30,66,17,40,0,0,0,5,272,17.3,21:19,39.3
3,Jarome Iginla,2007-08,CGY,R,R,82,50,48,98,+27,83,1.20,35,65,15,33,0,0,2,9,338,14.8,21:26,55.1
4,Pavel Datsyuk,2007-08,DET,L,C,82,31,66,97,+41,20,1.18,20,56,10,40,1,1,0,6,264,11.7,21:23,54.4
5,Joe Thornton,2007-08,SJS,L,C,82,29,67,96,+18,59,1.17,18,59,11,37,0,0,2,5,178,16.3,21:12,52.9
6,Henrik Zetterberg,2007-08,DET,L,C,75,43,49,92,+30,34,1.23,26,55,16,36,1,1,0,7,358,12.0,22:04,55.0
7,Vincent Lecavalier,2007-08,TBL,L,C,81,40,52,92,-17,89,1.14,29,59,10,29,1,4,0,7,318,12.6,22:57,48.8
8,Jason Spezza,2007-08,OTT,R,C,76,34,58,92,+26,66,1.21,23,59,11,33,0,0,0,6,210,16.2,20:40,50.5
9,Daniel Alfredsson,2007-08,OTT,R,R,70,40,49,89,+15,34,1.27,24,55,9,25,7,9,1,5,217,18.4,22:17,53.9
10,Ilya Kovalchuk,2007-08,ATL,R,L,79,52,35,87,-12,52,1.10,34,55,16,30,2,2,1,4,283,18.4,21:30,43.8
11,Alex Kovalev,2007-08,MTL,L,R,82,35,49,84,+18,70,1.02,18,35,17,47,0,2,1,5,230,15.2,19:33,55.2
12,Marian Gaborik,2007-08,MIN,L,R,77,42,41,83,+17,63,1.08,30,58,11,24,1,1,3,8,278,15.1,19:36,28.6
13,Mike Ribeiro,2007-08,DAL,L,C,76,27,56,83,+21,46,1.09,20,52,7,31,0,0,1,5,107,25.2,18:26,45.0
14,Martin St. Louis,2007-08,TBL,L,R,82,25,58,83,-23,26,1.01,13,51,10,29,2,3,0,5,241,10.4,24:17,25.0
15,Dany Heatley,2007-08,OTT,L,L,71,41,41,82,+33,76,1.15,28,57,13,25,0,0,1,8,224,18.3,21:44,57.7
16,Eric Staal,2007-08,CAR,L,C,82,38,44,82,-2,50,1.00,24,47,14,35,0,0,0,7,310,12.3,21:38,44.9
17,Ryan Getzlaf,2007-08,ANA,R,C,77,24,58,82,+32,94,1.06,19,45,4,36,1,1,0,2,185,13.0,19:39,47.3
18,Derek Roy,2007-08,BUF,L,C,78,32,49,81,+13,46,1.04,23,53,6,23,3,5,0,4,218,14.7,20:58,51.2
19,Jason Pominville,2007-08,BUF,R,R,82,27,53,80,+16,20,0.98,24,50,2,27,1,3,0,1,232,11.6,19:58,37.3
20,Mats Sundin,2007-08,TOR,R,C,74,32,46,78,+17,76,1.05,21,48,10,29,1,1,0,4,259,12.4,20:04,55.2
21,Shane Doan,2007-08,PHX,R,R,80,28,50,78,+4,59,0.98,17,42,9,27,2,9,1,5,243,11.5,20:46,41.2
22,Marc Savard,2007-08,BOS,L,C,74,15,63,78,+3,66,1.05,11,45,4,31,0,2,0,2,196,7.7,20:31,51.6
23,Anze Kopitar,2007-08,LAK,L,C,82,32,45,77,-15,22,0.94,18,39,12,34,2,4,1,3,201,15.9,20:41,49.2
24,Henrik Sedin,2007-08,VAN,L,C,82,15,61,76,+6,56,0.93,10,46,4,29,1,1,1,2,141,10.6,19:31,47.0
25,Mike Richards,2007-08,PHI,L,C,73,28,47,75,+14,76,1.03,15,38,8,31,5,6,1,6,212,13.2,21:31,50.5
26,Brenden Morrow,2007-08,DAL,L,L,82,32,42,74,+23,105,0.90,18,44,12,28,2,2,1,7,207,15.5,20:00,39.0
27,Daniel Sedin,2007-08,VAN,L,L,82,29,45,74,+6,50,0.90,17,42,12,32,0,0,2,7,247,11.7,19:03,44.7
28,Daniel Briere,2007-08,PHI,R,C,79,31,41,72,-22,68,0.91,17,34,14,37,0,1,0,3,182,17.0,18:52,50.5
29,J-P Dumont,2007-08,NSH,L,R,80,29,43,72,+5,34,0.90,22,56,7,16,0,0,1,8,192,15.1,18:30,23.1
30,Jason Arnott,2007-08,NSH,R,C,79,28,44,72,+19,54,0.91,15,50,13,22,0,0,0,3,248,11.3,18:59,48.7
31,Sidney Crosby,2007-08,PIT,L,C,53,24,48,72,+18,39,1.36,18,44,6,27,0,1,0,4,173,13.9,20:51,51.4
32,Patrick Kane,2007-08,CHI,L,R,82,21,51,72,-5,52,0.88,14,44,7,28,0,0,1,4,191,11.0,18:22,61.5
33,Olli Jokinen,2007-08,FLA,L,C,82,34,37,71,-19,67,0.87,16,38,18,33,0,0,1,5,341,10.0,19:54,43.1
34,Vinny Prospal,2007-08,"TBL,PHI",L,L,80,33,38,71,0,45,0.89,23,52,10,19,0,0,1,5,215,15.4,19:22,55.7
35,Jaromir Jagr,2007-08,NYR,L,R,82,25,46,71,+8,58,0.87,18,42,7,29,0,0,0,5,249,10.0,20:28,33.3
36,Paul Stastny,2007-08,COL,L,C,66,24,47,71,+22,24,1.08,21,49,3,21,0,1,1,4,138,17.4,21:05,51.0
37,Ales Hemsky,2007-08,EDM,R,R,74,20,51,71,-9,34,0.96,12,41,8,30,0,0,0,2,184,10.9,18:35,20.0
38,Scott Gomez,2007-08,NYR,L,C,81,16,54,70,+3,36,0.86,9,40,7,29,0,1,0,3,242,6.6,19:54,52.5
39,Nicklas Lidstrom,2007-08,DET,L,D,76,10,60,70,+40,40,0.92,5,35,5,34,0,1,0,4,188,5.3,26:16,--
40,Rick Nash,2007-08,CBJ,L,L,80,38,31,69,+2,95,0.86,24,43,10,22,4,4,0,6,329,11.6,20:29,31.8
41,Tomas Plekanec,2007-08,MTL,L,C,81,29,40,69,+15,42,0.85,15,41,12,25,2,3,0,6,186,15.6,18:05,49.5
42,Nicklas Backstrom,2007-08,WSH,L,C,82,14,55,69,+13,24,0.84,11,44,3,25,0,0,1,4,153,9.2,19:00,46.3
43,Alex Frolov,2007-08,LAK,R,L,71,23,44,67,+1,22,0.94,18,49,5,18,0,0,0,7,160,14.4,18:48,18.2
44,Marian Hossa,2007-08,"ATL,PIT",L,R,72,29,37,66,-14,36,0.92,19,35,8,29,2,2,2,4,264,11.0,21:22,26.7
45,Kristian Huselius,2007-08,CGY,L,L,81,25,41,66,+10,40,0.81,19,41,6,25,0,0,0,5,202,12.4,17:42,25.0
46,Brad Boyes,2007-08,STL,R,R,82,43,22,65,+1,20,0.79,32,46,11,19,0,0,1,9,207,20.8,17:57,44.5
47,Zach Parise,2007-08,NJD,L,L,81,32,33,65,+13,25,0.80,21,41,10,23,1,1,2,8,266,12.0,18:04,48.1
48,Daymond Langkow,2007-08,CGY,L,C,80,30,35,65,+16,19,0.81,15,40,14,23,1,2,0,4,201,14.9,18:50,43.7
49,Cory Stillman,2007-08,"CAR,OTT",L,L,79,24,41,65,-15,24,0.82,13,36,11,29,0,0,1,6,166,14.5,18:59,41.2
50,Paul Kariya,2007-08,STL,L,L,82,16,49,65,-10,50,0.79,11,44,5,21,0,0,0,1,223,7.2,18:44,0.0
51,Sergei Gonchar,2007-08,PIT,L,D,78,12,53,65,+13,66,0.83,4,19,8,46,0,0,1,2,173,6.9,25:42,--
52,Thomas Vanek,2007-08,BUF,R,L,82,36,28,64,-5,64,0.78,17,40,19,24,0,0,2,9,240,15.0,16:51,46.2
53,Petr Sykora,2007-08,PIT,L,R,81,28,35,63,+1,41,0.78,13,36,15,27,0,0,0,4,201,13.9,16:51,60.0
