#,Player,Season,Team,Shoots,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
1,Daniel Sedin,2010-11,VAN,L,L,82,41,63,104,+30,32,1.27,23,62,18,42,0,0,0,10,266,15.4,18:33,23.5
2,Martin St. Louis,2010-11,TBL,L,R,82,31,68,99,0,12,1.21,27,58,4,41,0,0,1,7,254,12.2,20:59,38.2
3,Corey Perry,2010-11,ANA,R,R,82,50,48,98,+9,104,1.20,32,62,14,31,4,5,2,11,290,17.2,22:19,40.9
4,Henrik Sedin,2010-11,VAN,L,C,82,19,75,94,+26,40,1.15,11,59,8,35,0,0,0,4,157,12.1,19:16,52.0
5,Steven Stamkos,2010-11,TBL,R,C,82,45,46,91,+3,74,1.11,28,55,17,36,0,0,1,8,272,16.5,20:12,46.5
6,Jarome Iginla,2010-11,CGY,R,R,82,43,43,86,0,40,1.05,29,56,14,30,0,0,1,6,289,14.9,20:56,54.1
7,Alex Ovechkin,2010-11,WSH,R,L,79,32,53,85,+24,41,1.08,25,61,7,24,0,0,3,11,367,8.7,21:22,33.3
8,Teemu Selanne,2010-11,ANA,R,R,73,31,49,80,+6,49,1.10,15,46,16,34,0,0,0,5,213,14.6,17:56,44.5
9,Henrik Zetterberg,2010-11,DET,L,C,80,24,56,80,-1,40,1.00,14,49,10,30,0,1,2,3,306,7.8,19:35,52.4
10,Brad Richards,2010-11,DAL,L,C,72,28,49,77,+1,24,1.07,21,48,7,29,0,0,0,3,272,10.3,21:43,50.6
11,Eric Staal,2010-11,CAR,L,C,81,33,43,76,-10,72,0.94,18,44,12,29,3,3,0,8,296,11.2,21:56,48.0
12,Jonathan Toews,2010-11,CHI,L,C,80,32,44,76,+25,26,0.95,21,49,10,25,1,2,1,8,233,13.7,20:46,56.7
13,Claude Giroux,2010-11,PHI,R,C,82,25,51,76,+20,47,0.93,14,50,8,19,3,7,0,5,169,14.8,19:24,50.0
